REF_AREA,TIME_PERIOD,measure,OBS_VALUE,Population,OBS_VALUE_per_capita
AUS,1986,GDP,489743653712.44946,16018350,30573.913899524574
AUS,1987,GDP,511483771496.2444,16263874,31449.07366450603
AUS,1988,GDP,541299311107.20886,16532164,32742.19340596965
AUS,1989,GDP,553178373982.694,16814416,32899.053644366475
AUS,1990,GDP,528933531104.95514,17065128,30994.99348056195
AUS,1991,GDP,522486025668.6795,17284036,30229.399294741084
AUS,1992,GDP,542843415183.37463,17478635,31057.540544978176
AUS,1993,GDP,560396823165.0155,17634808,31777.88060777387
AUS,1994,GDP,584047149188.7732,17805468,32801.56125010436
AUS,1995,GDP,595520098743.0819,18004882,33075.47912522181
AUS,1996,GDP,610735538564.6494,18224767,33511.29474328256
AUS,1997,GDP,645127011627.5695,18423037,35017.408455922305
AUS,1998,GDP,675021636679.6056,18607584,36276.69431343723
AUS,1999,GDP,708857671677.8477,18812264,37680.614713776486
AUS,2000,GDP,724529283184.5358,19028802,38075.40186631485
AUS,2001,GDP,741844365846.5369,19274701,38487.9830741103
AUS,2002,GDP,764822090881.5231,19495210,39231.282498702145
AUS,2003,GDP,800956414830.9968,19720737,40614.933145297604
AUS,2004,GDP,838193011519.901,19932722,42051.10629245223
AUS,2005,GDP,881717178711.3593,20176844,43699.45957412166
AUS,2006,GDP,927760712796.0015,20450966,45365.12909932966
AUS,2007,GDP,982428533851.4019,20827622,47169.500860511194
AUS,2008,GDP,1007789174687.5212,21249199,47427.16065144485
AUS,2009,GDP,1023928983770.1423,21691653,47203.82461263521
AUS,2010,GDP,1081869038264.4806,22031750,49104.997935455904
AUS,2011,GDP,1108228194577.3982,22340024,49607.29650860707
AUS,2012,GDP,1116471255604.9192,22733465,49111.35436700561
AUS,2013,GDP,1133964242601.254,23128129,49029.65746175378
AUS,2014,GDP,1123291922339.7498,23475686,47849.16284617837
AUS,2015,GDP,1129436903665.6938,23815995,47423.460731566905
AUS,2016,GDP,1182365920306.593,24190907,48876.46090767052
AUS,2017,GDP,1215126912336.8123,24592588,49410.29030115953
AUS,1986,consumption,370966106502.84204,16018350,23158.821383153823
AUS,1987,consumption,375527301270.71844,16263874,23089.658790440608
AUS,1988,consumption,388886997653.467,16532164,23523.05467411689
AUS,1989,consumption,400277977256.2976,16814416,23805.64256625372
AUS,1990,consumption,398533446440.9464,17065128,23353.674607125504
AUS,1991,consumption,407189646082.8449,17284036,23558.71314332167
AUS,1992,consumption,418703347954.55786,17478635,23955.151415116678
AUS,1993,consumption,426000692348.3194,17634808,24156.809212117274
AUS,1994,consumption,443906129567.2358,17805468,24930.888060186666
AUS,1995,consumption,450819102321.6933,18004882,25038.71462871533
AUS,1996,consumption,457496547348.3289,18224767,25103.012145413377
AUS,1997,consumption,485625975097.7124,18423037,26359.713390235953
AUS,1998,consumption,515288936638.5344,18607584,27692.414912034492
AUS,1999,consumption,538354167712.55457,18812264,28617.191833612083
AUS,2000,consumption,554743863533.7031,19028802,29152.852793029382
AUS,2001,consumption,561044003635.8723,19274701,29107.79283351126
AUS,2002,consumption,582715209470.8372,19495210,29890.17350779177
AUS,2003,consumption,606002366134.9073,19720737,30729.194661178604
AUS,2004,consumption,631115670579.3151,19932722,31662.29231408109
AUS,2005,consumption,655923705120.302,20176844,32508.73650608103
AUS,2006,consumption,688279783250.5303,20450966,33655.123344810716
AUS,2007,consumption,727030254950.7426,20827622,34907.02178821675
AUS,2008,consumption,730078261203.3239,21249199,34357.91914807348
AUS,2009,consumption,760042627838.1083,21691653,35038.48359726703
AUS,2010,consumption,785405977565.6292,22031750,35648.8239729313
AUS,2011,consumption,804062821105.5205,22340024,35992.03031767202
AUS,2012,consumption,821241568682.3612,22733465,36124.786462704265
AUS,2013,consumption,835691670091.9691,23128129,36133.129060805964
AUS,2014,consumption,846496204080.8794,23475686,36058.422492142694
AUS,2015,consumption,870329668838.3114,23815995,36543.913820871705
AUS,2016,consumption,894007389927.8184,24190907,36956.34024502754
AUS,2017,consumption,916127835356.4661,24592588,37252.193032976684
AUT,1986,GDP,252599757590.14737,7569794,33369.43615508525
AUT,1987,GDP,258641212790.0232,7574586,34145.92068662541
AUT,1988,GDP,266146331740.68314,7585317,35087.04141708028
AUT,1989,GDP,277560224443.52637,7619566,36427.30103571862
AUT,1990,GDP,288886640376.50574,7677850,37625.98128076294
AUT,1991,GDP,299709414227.09174,7754891,38647.79198406421
AUT,1992,GDP,304390339513.00836,7840709,38821.78761040722
AUT,1993,GDP,303411114328.73566,7905632,38379.109263969745
AUT,1994,GDP,309406417942.05194,7936118,38987.12417608356
AUT,1995,GDP,316327052864.14417,7948278,39798.186835455956
AUT,1996,GDP,320477543403.8205,7959016,40265.97551805656
AUT,1997,GDP,327214139422.7843,7968041,41065.8202465053
AUT,1998,GDP,337165542308.2873,7976789,42268.329061767494
AUT,1999,GDP,348633047508.4448,7992323,43620.990731786595
AUT,2000,GDP,356316610815.3439,8011566,44475.27622132101
AUT,2001,GDP,358502688155.4546,8042293,44577.17322105208
AUT,2002,GDP,361300755266.9157,8080292,44713.82411265777
AUT,2003,GDP,365105953323.02704,8114402,44994.80717408714
AUT,2004,GDP,373249210503.6306,8166432,45705.298287383106
AUT,2005,GDP,382779130663.10315,8222090,46554.96724836424
AUT,2006,GDP,397643482525.68494,8265675,48107.80517328408
AUT,2007,GDP,413021842464.39545,8293654,49799.743570734376
AUT,2008,GDP,413819154978.81305,8319388,49741.53807693704
AUT,2009,GDP,403873445045.8317,8338752,48433.32012342275
AUT,2010,GDP,407455141934.7857,8357367,48754.00852143812
AUT,2011,GDP,413428096839.2969,8384901,49306.25857589694
AUT,2012,GDP,414425983202.5256,8420328,49217.32065574234
AUT,2013,GDP,412205801686.5232,8472176,48654.06498714418
AUT,2014,GDP,416960128589.8912,8538350,48833.806132319616
AUT,2015,GDP,428239825841.59247,8618709,49687.23573815898
AUT,2016,GDP,441307927270.8615,8737663,50506.40283000861
AUT,2017,GDP,446445876328.95874,8790624,50786.59675683532
AUT,1986,consumption,190558504851.19135,7569794,25173.539048908246
AUT,1987,consumption,194741991929.0217,7574586,25709.91892217234
AUT,1988,consumption,198402883088.8745,7585317,26156.175554544985
AUT,1989,consumption,205105312027.61362,7619566,26918.240753819
AUT,1990,consumption,212675123646.4304,7677850,27699.82790057508
AUT,1991,consumption,219718587122.2793,7754891,28332.904630417022
AUT,1992,consumption,226271140435.44113,7840709,28858.505070834937
AUT,1993,consumption,227809283421.9869,7905632,28816.07484663932
AUT,1994,consumption,231741390068.115,7936118,29200.849844737062
AUT,1995,consumption,234997217306.53375,7948278,29565.802467721154
AUT,1996,consumption,240150550175.76544,7959016,30173.397085238357
AUT,1997,consumption,242609174039.91486,7968041,30447.78183745727
AUT,1998,consumption,248426914731.1042,7976789,31143.72396350263
AUT,1999,consumption,255016694316.92584,7992323,31907.70622219921
AUT,2000,consumption,259741103722.19315,8011566,32420.765643345276
AUT,2001,consumption,261623458223.30325,8042293,32530.95332678171
AUT,2002,consumption,260931462362.57205,8080292,32292.330817075923
AUT,2003,consumption,266679869845.21823,8114402,32865.00592960741
AUT,2004,consumption,271383128577.70114,8166432,33231.54207096822
AUT,2005,consumption,279446249728.5819,8222090,33987.252599835556
AUT,2006,consumption,287517106388.91675,8265675,34784.46786123538
AUT,2007,consumption,291555709469.5317,8293654,35154.07195302959
AUT,2008,consumption,293767609812.9547,8319388,35311.20435937772
AUT,2009,consumption,298456321850.3141,8338752,35791.48556646295
AUT,2010,consumption,301175755263.59625,8357367,36037.1580263971
AUT,2011,consumption,302109212900.07245,8384901,36030.14667675533
AUT,2012,consumption,303317702719.61975,8420328,36022.07689767189
AUT,2013,consumption,302742980628.4448,8472176,35733.792667721355
AUT,2014,consumption,304079838988.54614,8538350,35613.41933611835
AUT,2015,consumption,309806611810.2735,8618709,35945.82573913025
AUT,2016,consumption,316901777841.69885,8737663,36268.482526929554
AUT,2017,consumption,320971380929.18115,8790624,36512.923420360275
BEL,1986,GDP,297636897005.0139,9861824,30180.714744555764
BEL,1987,GDP,304894374030.54376,9870234,30890.288318447543
BEL,1988,GDP,322476919062.0074,9901665,32567.948831030677
BEL,1989,GDP,339134474805.60486,9937697,34126.06309143908
BEL,1990,GDP,347624363338.68567,9967378,34876.20950451419
BEL,1991,GDP,352835032481.4144,10004486,35267.68216592181
BEL,1992,GDP,361721145313.37354,10045165,36009.47772519153
BEL,1993,GDP,362560805855.21387,10084479,35952.358654841155
BEL,1994,GDP,373225113331.5486,10115601,36895.989999165504
BEL,1995,GDP,381194721730.5564,10136814,37604.983353798976
BEL,1996,GDP,380176492473.2585,10156641,37431.32128754561
BEL,1997,GDP,391218976594.44556,10181246,38425.451717250085
BEL,1998,GDP,402277915992.966,10203012,39427.36870180746
BEL,1999,GDP,414379599783.5969,10226419,40520.49889444163
BEL,2000,GDP,427559927360.6729,10251251,41708.073225470034
BEL,2001,GDP,430209348910.0065,10286571,41822.42546228539
BEL,2002,GDP,437530091003.839,10332786,42343.86456893997
BEL,2003,GDP,443207887729.4626,10376131,42714.17619240376
BEL,2004,GDP,458216160830.30634,10421136,43969.88589634626
BEL,2005,GDP,465669023325.05426,10478620,44439.918932555454
BEL,2006,GDP,479776028126.64526,10547956,45485.213260905264
BEL,2007,GDP,497947633310.1284,10624835,46866.38741308721
BEL,2008,GDP,487820219909.58057,10709108,45551.90029922012
BEL,2009,GDP,482517819185.2764,10796498,44692.0676672451
BEL,2010,GDP,493237622390.72864,10895591,45269.46931017589
BEL,2011,GDP,496743360907.98236,10993609,45184.73968903045
BEL,2012,GDP,494746694035.19794,11067748,44701.658732670636
BEL,2013,GDP,497727563968.20215,11125033,44739.42360154816
BEL,2014,GDP,509041117054.3657,11179778,45532.30994876336
BEL,2015,GDP,519423798559.4964,11238474,46218.35656331068
BEL,2016,GDP,525217937102.5674,11295003,46500.026348161875
BEL,2017,GDP,532217021072.1959,11349081,46895.164557570424
BEL,1986,consumption,235437036264.32092,9861824,23873.579194307353
BEL,1987,consumption,239671712069.40598,9870234,24282.272544846048
BEL,1988,consumption,244903867877.9039,9901665,24733.604689504635
BEL,1989,consumption,253222392541.84647,9937697,25480.993487912387
BEL,1990,consumption,258675960603.25964,9967378,25952.257514790716
BEL,1991,consumption,266926260108.89633,10004486,26680.657068128872
BEL,1992,consumption,271666900967.2551,10045165,27044.543416385404
BEL,1993,consumption,271759358949.56686,10084479,26948.27952436282
BEL,1994,consumption,277743793419.63007,10115601,27456.97397709044
BEL,1995,consumption,283452782578.32214,10136814,27962.709247533017
BEL,1996,consumption,285882256300.8036,10156641,28147.323145595437
BEL,1997,consumption,288779994496.77075,10181246,28363.914838789944
BEL,1998,consumption,297733020089.0578,10203012,29180.894826846994
BEL,1999,consumption,303967574008.3083,10226419,29723.755110005593
BEL,2000,consumption,313625397390.62915,10251251,30593.865801415763
BEL,2001,consumption,317146445051.91364,10286571,30831.11418293945
BEL,2002,consumption,322350960114.85046,10332786,31196.906634362742
BEL,2003,consumption,326545945689.7366,10376131,31470.877313493496
BEL,2004,consumption,331926243784.1637,10421136,31851.253431887242
BEL,2005,consumption,336596418411.1883,10478620,32122.20868885295
BEL,2006,consumption,345376206607.4154,10547956,32743.42503963947
BEL,2007,consumption,354845268007.40936,10624835,33397.72034176619
BEL,2008,consumption,358013393652.17004,10709108,33430.73892355648
BEL,2009,consumption,366326784459.5097,10796498,33930.14887415435
BEL,2010,consumption,375411585933.7037,10895591,34455.36694004976
BEL,2011,consumption,376249467101.42633,10993609,34224.38137479933
BEL,2012,consumption,379456471008.6492,11067748,34284.885327046584
BEL,2013,consumption,383458525862.57495,11125033,34468.07985761255
BEL,2014,consumption,389519656605.248,11179778,34841.44824747396
BEL,2015,consumption,394714486786.217,11238474,35121.71552705616
BEL,2016,consumption,397274094439.5767,11295003,35172.553246739
BEL,2017,consumption,402800123205.3285,11349081,35491.87138635529
CAN,1986,GDP,813919734529.4597,26100278,31184.33200326294
CAN,1987,GDP,850597614749.6179,26446601,32162.8331273882
CAN,1988,GDP,892485201314.7219,26791747,33311.944955090905
CAN,1989,GDP,910714884271.3014,27276781,33387.91642134391
CAN,1990,GDP,900124749873.5223,27691138,32505.877868707394
CAN,1991,GDP,859867124025.6206,28037420,30668.55381221313
CAN,1992,GDP,867359044960.4578,28371264,30571.744881033774
CAN,1993,GDP,885375847787.5846,28684764,30865.718392788054
CAN,1994,GDP,937080612096.6577,29000663,32312.385827063943
CAN,1995,GDP,963295312995.0765,29302311,32874.38021509896
CAN,1996,GDP,980575222005.2169,29610218,33116.10951345299
CAN,1997,GDP,1017779468267.9481,29905948,34032.676986797014
CAN,1998,GDP,1045102575297.6003,30155173,34657.488958779984
CAN,1999,GDP,1100873200968.5256,30401286,36211.40240477082
CAN,2000,GDP,1176084593888.8743,30685730,38326.7595031591
CAN,2001,GDP,1187018336730.856,31020855,38265.17150255388
CAN,2002,GDP,1210652065800.7656,31359199,38605.962665078456
CAN,2003,GDP,1238410114877.4612,31642461,39137.604210919664
CAN,2004,GDP,1294301164820.4966,31938807,40524.405461371694
CAN,2005,GDP,1347665704605.478,32242732,41797.50353057793
CAN,2006,GDP,1390932166311.7825,32571193,42704.366595100844
CAN,2007,GDP,1435567970537.5557,32888886,43649.02996524588
CAN,2008,GDP,1472887215427.7485,33247298,44300.95989838779
CAN,2009,GDP,1392535006121.1367,33630069,41407.43826963711
CAN,2010,GDP,1450694570012.6763,34005902,42660.08206495085
CAN,2011,GDP,1501035484752.3027,34339221,43711.984169713774
CAN,2012,GDP,1522913006843.5596,34713395,43871.04767031746
CAN,2013,GDP,1570723581287.7168,35080992,44774.206535770616
CAN,2014,GDP,1616408266548.25,35434066,45617.352142095406
CAN,2015,GDP,1594850974566.561,35704498,44668.06884013776
CAN,2016,GDP,1600107879175.811,36110803,44311.057806601835
CAN,2017,GDP,1664458471961.021,36545075,45545.35657570879
CAN,1986,consumption,631340705763.7168,26100278,24189.041425678177
CAN,1987,consumption,650711559074.374,26446601,24604.73310254025
CAN,1988,consumption,674627891440.3467,26791747,25180.436775561768
CAN,1989,consumption,694209923800.032,27276781,25450.580983145774
CAN,1990,consumption,706236475049.9747,27691138,25504.06108445145
CAN,1991,consumption,699049366676.2175,28037420,24932.72799980232
CAN,1992,consumption,712509892322.3408,28371264,25113.78739848675
CAN,1993,consumption,721902316943.4773,28684764,25166.751134625938
CAN,1994,consumption,742773863932.2164,29000663,25612.30630941839
CAN,1995,consumption,746409915548.5413,29302311,25472.732015865276
CAN,1996,consumption,756854849204.8514,29610218,25560.59699407993
CAN,1997,consumption,780913771365.5426,29905948,26112.322918689708
CAN,1998,consumption,803884543191.7909,30155173,26658.26334976725
CAN,1999,consumption,831906467540.304,30401286,27364.186749873144
CAN,2000,consumption,866074347013.881,30685730,28224.00989039143
CAN,2001,consumption,885550860086.53125,31020855,28546.952045213817
CAN,2002,consumption,917551494166.752,31359199,29259.404685902595
CAN,2003,consumption,935884972540.5758,31642461,29576.870539259755
CAN,2004,consumption,959535811075.3562,31938807,30042.94465586508
CAN,2005,consumption,988931558606.1617,32242732,30671.45670553481
CAN,2006,consumption,1024648455325.2404,32571193,31458.73273125858
CAN,2007,consumption,1062013522923.7703,32888886,32290.95454688767
CAN,2008,consumption,1092598390528.5781,33247298,32862.77250345511
CAN,2009,consumption,1107587725238.6804,33630069,32934.44700451493
